"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ac73e732d40a7f479a8db786eea35a42","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14","midas_s_1751"
"0620149226837b0dc24e722a745740cf","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14",NA
"49ffa461cd05c5a37cd25f3b2c5aa8a0","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1417"
"35a72a5d06f09b9f72563be373aa4c0b","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1417"
"8eb7b807683ed8e8d0d254c26950d84a","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1221"
"1924685fab5b6ffa200e4ba9ddc46ff3","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","midas_g_1221","midas_s_1221"
"827800f9515225111fa855aec9488ba5","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","midas_g_8106","midas_s_8106"
"1a6b54d3adf760516b2d8543f680ca42","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus","midas_s_1709"
"9f825fe206b3293b3fa40d5f69da9f52","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria",NA
"fe1db5f771090026ee146c374f6f0a51","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Schlesneria","midas_s_26750"
"3f9104933ebd4b2b3b9eaa9a29cc306a","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Schlesneriaceae","Planctopirus","midas_s_39447"
"1a388c0147e8f3d1a41f3d0d48b9e4ab","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"4c3bdb633700f287dcd9bbb669b3a37e","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"8a637742e7887f45090d0f83fb6888cc","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"53c2554f98c38cda1e40a11ff0c36cfd","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_38137"
"d15266f1357437253df7743eb0e299b2","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","midas_s_38137"
