"","date","test","Ca_Accumulibacter","Ca_Competibacter","Dechloromonas","Defluviicoccus","Halomonas","Microlunatus","Micropruina","Tetrasphaera"
"1",2021-06-30,"AT1",0,1.79514255543823,0,0,0,0,0.401267159450898,6.88489968321014
"2",2021-07-20,"AT1",0.212269157291446,1.48588410104012,0,0.339630651666313,0,0,0.275949904478879,2.46232222458077
"3",2021-09-07,"AT1",0.755613126079447,4.12348877374784,0,0.215889464594128,0,0,0.367012089810017,3.19516407599309
"4",2021-09-28,"AT1",0.329236172080773,3.35820895522388,0,0.153643546971027,0,0,0.219490781387182,3.05092186128183
"5",2021-10-20,"AT1",0.317662007623888,3.32486234646336,0,0.254129606099111,0,0,0.190597204574333,3.5154595510377
"6",2021-11-01,"AT1",1.05796782014547,3.5265594004849,0.396737932554551,0.176327970024245,0,0,0.33061494379546,3.15186246418338
"7",2021-11-15,"AT1",0.407900386431945,2.89823958780593,0,0,0,0,0.38643194504079,3.28467153284672
"8",2021-11-23,"AT1",0.304811669932506,2.06836490311343,0,0.0870890485521446,0,0,0.500762029174831,3.98432397126061
"9",2021-06-30,"AT2/AT3",0.146719765248376,1.76063718298051,0,0.209599664640537,0,0,0.251519597568644,7.81806749109201
"10",2021-07-20,"AT2/AT3",0.0838047349675257,1.11041273831972,0,0.272365388644458,0,0.0419023674837628,0.29331657238634,3.58265241986172
"11",2021-09-07,"AT2/AT3",0.573126724686903,4.01188707280832,0,0.212269157291446,0.0212269157291446,0,0.23349607302059,2.61091063468478
"12",2021-09-28,"AT2/AT3",0.21137180300148,3.36081166772353,0,0.253646163601775,0,0,0.232508983301628,3.52990911012471
"13",2021-10-20,"AT2/AT3",0.48884165781084,3.80446333687566,0,0.0850159404888417,0,0,0.255047821466525,3.8682252922423
"14",2021-11-01,"AT2/AT3",1.84707903780069,3.35051546391753,2.9639175257732,0.214776632302405,0.0429553264604811,0,0.214776632302405,3.15721649484536
"15",2021-11-15,"AT2/AT3",0.278730703259005,2.68010291595197,0,0.0857632933104631,0,0,0.493138936535163,3.77358490566038
"16",2021-11-23,"AT2/AT3",0.308098591549296,2.90492957746479,0,0.0440140845070423,0.0440140845070423,0,0.154049295774648,3.16901408450704
