date,battery,tet_ac,tet_comp,ac_comp
6/30/2021,control,53.28571437,4.44047619,0.083333333
7/20/2021,control,42.74999997,3.226415092,0.075471698
9/7/2021,control,4.555555552,0.650793651,0.142857143
9/28/2021,control,16.69999999,1.050314465,0.062893082
10/20/2021,control,7.913043477,1.016759777,0.12849162
11/1/2021,control,1.709302325,0.942307693,0.551282051
11/15/2021,control,13.53846155,1.408,0.104
11/23/2021,control,10.28571428,1.090909091,0.106060606
6/30/2021,test,,3.83529412,0
7/20/2021,test,11.60000001,1.657142857,0.142857143
9/7/2021,test,4.228571429,0.77486911,0.183246073
9/28/2021,test,9.26666664,0.908496732,0.098039216
10/20/2021,test,11.06666669,1.057324841,0.095541401
11/1/2021,test,2.979166668,0.89375,0.3
11/15/2021,test,8.052631588,1.133333333,0.140740741
11/23/2021,test,13.07142857,1.926315791,0.147368421
